Name,Symptoms
Dental Caries,"toothache, tooth sensitivity, visible pits or holes in the teeth, dark spots on the teeth, bad breath"
Burns and scalds,"coughing, a sore throat, difficulty breathing, facial burns"
Intestinal Malabsorption,"chronic diarrhea, weight loss, abdominal pain or bloating, nutrient deficiencies (vitamins, minerals), fatigue, failure to thrive"
Excessive thirst,"feeling thirsty, dark yellow and strongsmelling pee, peeing little and less than 4 times a day, feeling dizzy or lightheaded, feeling tired, dry mouth, lips and eyes"
Edward Syndrome,"developmental delays, intellectual disability, distinct facial features (small jaw, low-set ears), heart defects"
Bowel incontinence,"poo leaking out without you being able to stop it, seeing streaks or stains of poo in your underwear"
Cyclical vomiting syndrome,"remember to take any medicine you've been prescribed, stay in bed and sleep in a dark, quiet room"
Oral thrush (mouth thrush),"cracks at the corners of the mouth, not tasting things properly, an unpleasant taste in the mouth, difficulty eating and drinking"
Turner syndrome,"are shorter than average, have underdeveloped ovaries, resulting in a lack of monthlyperiodsandinfertility"
Cytomegalovirus (CMV),"like symptoms the first time they get cmv, including, a high temperature, aching muscles, tiredness, a skin rash, feeling sick, a sore throat, swollen glands"
Heart palpitations,"chest pain, shortness of breath, feeling faint or fainting"
Amyloidosis,"feeling very tired or weak, losing weight without trying to, shortness of breath, swollen feet or legs, bruising around your eyes, frothy pee, if your kidneys are affected"
Panic disorder,"palpitations, sweating, trembling, shortness of breath, fear of losing control, dizziness"
Food poisoning,"feeling sick or being sick, diarrhoea, tummy pain, a high temperature, feeling generally unwell"
Reactive arthritis,"sore, stiff and swollen joints, feeling very tired, mouth ulcers, pain when peeing, a grey or white patchy rash on your penis, sticky, watery eyes (conjunctivitis), sore, red eyes with sensitivity to light and blurry vision"
Eye alignment disorder,"double vision, eye fatigue, poor depth perception, head tilting"
Periods,"feeling bloated, breast tenderness, mood swings, feeling irritable, spotty skin, low sex drive (loss of libido), headaches"
Dementia with Lewy bodies,"confusionor sleepiness  this can change over minutes or hours, slow movement, stiff limbs andtremors(uncontrollable shaking), disturbed sleep, often with violent movements and shouting out, faintingspells, unsteadiness andfalls, depressionandanxiety"
Endocarditis,"a high temperature, chills, headache, joint and muscle pain, threatening complications, such as"
Acne,"face  this affects almost everyone with acne, back  this affects more than half of people with acne, chest  this affects about 15 of people with acne"
Endometriosis,"pelvic pain, painful periods, infertility"
Varicose Veins,"enlarged, swollen veins, often in the legs"
Subarachnoid haemorrhage,"a sudden severeheadacheunlike anything youve experienced before, a stiff neck, feeling and being sick, sensitivity to light (photophobia), blurred ordouble vision, loss of consciousness or convulsions (uncontrollable shaking)"
Empyema,"fever, chest pain, productive cough with foul-smelling or bloody sputum"
Lupus,"joint pain, fatigue, skin rashes"
Tay Sachs disease,"being overly startled by noises and movement, difficulty swallowing, loss of vision or hearing, muscle stiffness, seizures (fits)"
Gestational diabetes,"increasedthirst, needing to pee more often than usual, a dry mouth, tiredness, blurred eyesight, genital itching or thrush"
Hepatitis A,"a high temperature, flulike symptoms, such as tiredness, headache, and muscle pains, feeling sick or being sick, pain in your upper tummy, diarrhoea or constipation, pale yellow or pale grey poo, dark brown pee, itchy skin  you may also have a raised rash (hives)"
Haemophilia,"bruising easily, joint pain, stiffness and swelling"
Ovarian cyst,"pain during sex, difficulty emptying your bowels, a frequent need to urinate, heavy periods,irregular periodsor lighter periods than normal, bloating and a swollen tummy, feeling very full after only eating a little"
Pityriasis rosea,"tiredness, a sore throat, a high temperature, a headache"
Cyclospora,"diarrhoea, loss of appetite and weight loss, stomach cramps, bloating and farting, tiredness, feeling sick, muscle aches"
Tendonitis,"pain in a tendon that gets worse when you move, difficulty moving the joint, swelling, sometimes with heat or redness"
Premenstrual Tension Syndrome,"mood swings, bloating, breast tenderness, irritability"
Pericarditis,"chest pain (sharp and stabbing), worsens with deep breaths or lying down, fever"
Arthritis,"joint pain, tenderness and stiffness, inflammation in and around the joints, restricted movement of the joints, warm red skin over the affected joint, weakness and muscle wasting"
Carpal Tunnel Syndrome,"tingling, numbness, and pain in the hand and fingers"
Myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS),"problems with thinking, concentration and memory (brain fog)"
Respiratory syncytial virus (RSV),"like symptoms, such as, a runny or blocked nose, a cough, sneezing, tiredness, a cough that gets worse, shortness of breath, faster breathing or long gaps between breaths, difficulty feeding (in babies) or loss of appetite, noisy breathing (wheezing), confusion (in older adults)"
Enlarged prostate,"feeling like you cannot fully empty your bladder, dribbling pee after you finish peeing"
MCADD,"irritability, poor feeding, sleepiness, floppiness, breathing difficulties, vomiting, seizures (fits), coma"
Nappy rash,"skin that looks sore and feels hot to touch, scaly and dry skin, an itchy or painful bottom, your baby seeming uncomfortable or distressed"
Polymyalgia Rheumatica,"muscle pain and stiffness, joint pain, fatigue"
Allergies,"a runny nose or sneezing, pain or tenderness around your cheeks, eyes or forehead, coughing, wheezing or breathlessness, itchy skin or a raised rash (hives), diarrhoea, feeling or being sick, swollen eyes, lips, mouth or throat"
Nasopharyngeal cancer,"alumpin the neck that doesnt go away after 3 weeks, hearing loss(usually only in 1 ear), nosebleeds, headaches, double vision, numbness in the bottom part of your face, swallowing problems, a hoarse voice, unintentional weight loss"
Gum Disease,"swollen, red, tender gums, bleeding gums"
Shoulder impingement,weakness in your arm
Bird flu,"a very high temperature or feeling hot or shivery, aching muscles, headache, a cough or shortness of breath, diarrhoea, sickness, stomach pain, chest pain, bleeding from the nose and gums, conjunctivitis"
Cryptococcosis,"headache, fever, fatigue, cough, meningitis, pneumonia"
Goiter,"enlarged thyroid gland in the neck, swelling or visible protrusion, difficulty swallowing or breathing"
Leishmaniasis,"skin sores, fever, weight loss, enlarged spleen or liver"
Irritable bowel syndrome (IBS),"bloating  your tummy may feel uncomfortably full and swollen, ups) they may be triggered by food or drink"
Migraine,"severe headaches, nausea, sensitivity to light and sound"
Tuberous Sclerosis,"benign tumors in various organs, seizures, developmental delays, skin abnormalities"
Thrombocytopenia,"easy bruising, prolonged bleeding from cuts, petechiae (red or purple spots on the skin), nosebleeds, excessive menstrual bleeding"
Necrotising fasciitis,"being sick (vomiting) and diarrhoea, confusion"
ADHD in adults,"being easily distracted or forgetful, finding it hard to organise your time, finding it hard to follow instructions or finish tasks, losing things often, like your wallet, mobile or keys, having a lot of energy or feeling restless, being very talkative or interrupting conversations, impulsive type some only show signs of one type"
Hypothyroidism,"fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels"
Multiple sclerosis,"feeling extremely tired (fatigue), feeling off balance, dizzy or clumsy (uncoordinated), muscle cramps, spasms and stiffness, problems with memory or concentration, sexual problems, including a dry vagina or erection problems"
Bronchiectasis,"a persistentcoughthat usually brings up phlegm (sputum), shortness of breath"
Bladder stones,"pain or difficulty when peeing, peeing more frequently (particularly at night), cloudy or darkcoloured urine, blood in the urine"
Kidney cancer,"blood in your pee, loss of appetite or losing weight without trying to, feeling tired or having no energy, a high temperature that does not go away, sweating a lot, including at night"
Listeriosis,"a high temperature, aches and pains, chills, feeling or being sick, diarrhoea"
Non allergic rhinitis,"a blocked or runny nose, sneezing, an itchy nose, a reduced sense of smell"
Hyperkalemia,"muscle weakness or fatigue, irregular heartbeat or palpitations, numbness or tingling, nausea or vomiting"
Acute lymphoblastic leukaemia,"feeling tired or weak, bleeding or bruising easily or for no reason, looking more pale than usual, a high temperature, swollen glands (usually in the neck, armpits and groin), pain in the bones or joints, loss of appetite or losing weight without trying, shortness of breath, a headache, being sick, blurred vision, fits (seizures), a cough, swollen veins in the neck or chest"
Eye cancer,"shadows, flashes of light, or wiggly lines in your vision, blurred vision, a dark patch in your eye that's getting bigger, partial or totalloss of vision, bulging of 1 eye, eye irritation that is not going away, pain in or around your eye, although this is rare"
Whiplash,"neck pain, neck stiffness and difficulty moving your head, headaches, pain and muscle spasms in the shoulders and arms"
Liver Cancer,"abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting"
"Hand, foot and mouth disease","a sore throat, a high temperature, not wanting to eat"
Mucocele,painless fluid-filled swelling in the oral cavity
Plantar Fasciitis,"heel pain, tenderness, difficulty walking"
Normal-Tension Glaucoma,"gradual loss of vision, visual field defects"
Pressure ulcers (pressure sores),"a patch of skin that feels warm, spongy or hard, pain or itchiness in the affected area of skin"
Endophthalmitis,"eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever"
Placenta Previa,"vaginal bleeding, painless bleeding in the third trimester"
Epiglottitis,"be very fast or slow, be easier when you lean forward, make a highpitched, rasping sound as you breathe in, a very sore throat, a high temperature, a hoarse (croaky) voice, finding it painful and difficult to swallow, drooling, being extremely tired or very restless and irritable"
Conductive Hearing Loss,"reduced hearing sensitivity, muffled or blocked sound"
Abscess of the Lung,"cough with phlegm or pus, chest pain, fever, shortness of breath, fatigue"
Ebola virus disease,"being sick, diarrhoea and tummy pain, a skin rash, yellowing of the skin and eyes, blood in your poo, lots of bruises all over your body, bleeding from your ears, eyes, nose or mouth"
How to check your testicles,anything else that is not normal for you
Emphysema,"shortness of breath, wheezing, chronic cough, chest tightness, fatigue, weight loss"
Kidney Stone,"severe pain in the side or back, blood in the urine, frequent urination"
Malignant brain tumour (brain cancer),"fits (seizures), regularly feeling sick (vomiting), memory problems or changes in personality, weakness, vision problems or speech problems that get worse"
Cirrhosis,"feeling tired or unwell all the time, loss of appetite or losing weight without trying, feeling or being sick, tummy pain, visible blood vessels on the skin, bleeding or bruising easily, itchy skin, swollen tummy, legs, ankles or feet, trembling hands, slurred speech, feeling confused or difficulty concentrating, vomiting blood, very dark or black poo"
Warthin tumor,"painless lump or swelling, facial changes"
Dermatitis due to Sun Exposure,"sunburn-like rash, redness, itching"
Chiari malformation,"neck pain, dizziness and balance problems, muscle weakness, numbness or tingling in the arms or legs, blurred vision,double visionand sensitivity to light, swallowing problems, hearing lossandtinnitus, feeling and being sick, difficulty sleeping (insomnia) andclinical depression"
Creutzfeldt Jakob disease,"loss of intellect and memory, changes in personality, loss of balance and coordination, slurred speech, vision problems andblindness, abnormal jerking movements, progressive loss of brain function and mobility, jakob diseaseanddiagnosing creutzfeldtjakob disease"
Hypoglycemia,"shaking, dizziness, confusion, sweating"
Carbon monoxide poisoning,"headache, dizziness, feeling sick or being sick, feeling weak, confusion, chest and muscle pain, shortness of breath"
Foreign Body in the Gastrointestinal Tract,"abdominal pain or discomfort, difficulty swallowing, choking or gagging, drooling, nausea or vomiting, loss of appetite, chest pain or pressure, respiratory distress, coughing or wheezing, gastrointestinal bleeding, bowel obstruction, perforation of the digestive tract"
Bulging eyes (exophthalmos),"pain or problems closing your eyes or moving them around, your eyes hurt when looking at bright lights"
Newborn respiratory distress syndrome,"bluecoloured lips, fingers and toes, rapid, shallow breathing, flaring nostrils, a grunting sound when breathing"
Pilonidal Cyst,"pain or discomfort in the tailbone area, swelling, redness, drainage of pus or blood, abscess formation"
Urge Incontinence,"sudden, intense urge to urinate followed by involuntary urine leakage"
Encephalitis,"headache, fever, confusion, seizures, neurological symptoms"
Anemia,"fatigue, weakness, pale skin, shortness of breath"
Sciatica,"sharp pain, tingling, or numbness that radiates from the lower back through the hips and down the leg"
Carpal tunnel syndrome,"an ache or pain in your fingers, hand or arm, numb hands, tingling or pins and needles, a weak thumb or difficulty gripping"
Acute kidney injury,"feeling sick or being sick, diarrhoea, dehydration, peeing less than usual, confusion, drowsiness"
Scurvy,"feeling very tired and weak all the time, feeling irritable and sad all the time, joint, muscle or leg pain, swollen, bleeding gums (sometimes teeth can fall out), skin that bruises easily"
Aspergillosis,"shortness of breath, wheezing, a high temperature, losing weight without trying, feeling tired"
Asbestosis,"shortness of breath, persistent cough, wheezing, extreme tiredness (fatigue), pain in your chest or shoulder, in more advanced cases, clubbed (swollen) fingertips"
Nasal and sinus cancer,"nosebleeds, a decreased sense of smell, mucus running from your nose  this can be bloody, mucus draining into the back of your nose and throat, swollen glandsin the neck, partial loss of vision ordouble vision, a bulging eye, awatering eyethat does not go away, pain or pressure in 1 ear"
Edwards' syndrome (trisomy 18),"low birth weight, ears in a low position on their head, cleft lip or palate, club foot, problems with their heart, kidneys or spine, problems with their breathing or digestion"
Fracture of the Rib,"chest pain, difficulty breathing, tenderness or swelling over the ribcage"
Otitis Media,"ear pain, fever, fluid drainage from the ear"
Hiatal Hernia,"heartburn, chest pain, difficulty swallowing"
Ethylene glycol poisoning-2,"metabolic acidosis, apid breathing, rapid heart rate, confusion, headache, dizziness, seizures"
Erythema multiforme,"a high temperature, headache, body aches and pains, feeling generally unwell"
Coronary Atherosclerosis,"chest pain or discomfort (angina), shortness of breath, fatigue, irregular heartbeat, dizziness, nausea, sweating, jaw or arm pain (in some cases), heart attack (when a coronary artery becomes completely blocked)"
Lung Contusion,"chest pain (sharp or dull), difficulty breathing or shortness of breath, rapid or shallow breathing, coughing up blood or pink-tinged sputum, decreased oxygen levels, wheezing, cyanosis (bluish discoloration of the skin), chest wall bruising, rib fractures (associated injuries)"
Epilepsy,"your body becoming stiff or floppy, suddenly falling to the floor, jerking or twitching movements in your body, peeing unintentionally"
Pulmonary Congestion,"shortness of breath, cough, wheezing, fatigue, chest discomfort or tightness"
Syndrome of Inappropriate Secretion of ADH (SIADH),"excessively concentrated urine, low blood sodium levels"
Foreign Body in the Throat,"sensation of a foreign object stuck in the throat, difficulty swallowing or speaking"
Hypothermia,"shivering, slurred speech, slow breathing, tiredness or confusion"
Heart Block,"fatigue, dizziness, fainting, chest pain or discomfort, shortness of breath, irregular heart rhythms"
Neuromyelitis optica (NMO),"weakness, numbness or paralysis in your arms or legs, muscle spasms (where your muscles suddenly tighten), vomiting and hiccups"
Gestational Cholestasis,"itchy skin, particularly on the hands and feet"
Acute respiratory distress syndrome (ARDS),"shortness of breath, taking short, fast breaths"
Abdominal aortic aneurysm,"tummy or back pain, a pulsing feeling in your tummy"
Pulmonary embolism,"difficulty breathing that comes on suddenly, chest pain that's worse when you breathe in, coughing up blood"
Hypoparathyroidism,"muscle pain, stiffness and spasms, tummy pain, brittle nails, dry hair and dry skin, confusion, an irregular heartbeat, seizures (fits)"
Swollen glands,"resting, drinking plenty of fluids (to avoiddehydration), taking painkillers likeparacetamoloribuprofen(do not give aspirin to children under 16)"
Twitching eyes and muscles,dystonia(a group of uncommon conditions that cause muscle spasms)
Bone Cancer,"bone pain, fractures, fatigue, unexplained weight loss"
Piles (haemorrhoids),"bright red blood after you poo, anitchy anus, lumps around your anus, pain around your anus"
Headache after lumbar puncture,throbbing headache
Syphilis,"white patches in your mouth, flulike symptoms, such as a high temperature, headaches and tiredness, swollen glands, patchy hair loss on the head, beard and eyebrows"
Vaginal Yeast Infection,"itching and irritation in the vagina and vulva, redness and swelling of the vulva, white, thick, clumpy vaginal discharge (resembling cottage cheese), burning sensation during urination, pain during sexual intercourse, rash or soreness in the affected area"
Myositis,"painful or aching muscles, feeling very tired, weight loss, night sweats, problems with swallowing (dysphagia) or breathing"
Ectopic Pregnancy,"vaginal bleeding, abdominal pain or cramping, shoulder pain (if the fallopian tube ruptures)"
Acupuncture,"joint and muscle pain, jaw pain, cancer symptoms such as pain, feeling sick or being sick after surgery"
How to collect a sample of poo (stool sample),"blood in your poo, diarrhoea, constipation, stomach pain or discomfort"
Alcohol related liver disease,"feeling sick, weight loss, loss of appetite, yellowing of the whites of the eyes or skin (jaundice), swelling in the ankles and tummy, confusion or drowsiness, vomiting blood or passing blood in your stools"
Patau's syndrome,"cleft lip and palate, an abnormally small eye or eyes (microphthalmia), absence of 1 or both eyes (anophthalmia), smaller than normal head size (microcephaly), ear malformations anddeafness, abnormal cysts in the kidneys, bottom feet"
Haemophilus influenzae type b (Hib),"a high temperature, difficulty breathing  babies may make grunting noises, being sleepier than normal or difficult to wake, a headache, a sore throat, swollen or painful joints"
Indigestion,"abdominal pain, bloating, heartburn, nausea, acidic taste"
Breast Cancer,"breast lump, changes in breast size or shape, nipple changes, breast pain"
Eczema,"itchy, red, inflamed skin, rash"
Alcohol Intoxication,"slurred speech, impaired coordination, confusion"
Non Hodgkin lymphoma,sized lumps of tissue found throughout the body
Aplastic Anemia,"fatigue, pale skin, frequent infections, shortness of breath, rapid or irregular heartbeats, prolonged bleeding or bruising"
Torticollis,"neck pain, stiffness, and abnormal head positioning"
Heartburn and acid reflux,heartburn  a burning sensation in the middle of your chest
Hereditary haemorrhagic telangiectasia (HHT),"regular nosebleeds, visible red spots in certain places on the body"
Carotid endarterectomy,"numbness or weakness in your face, arm or leg, speech problems, loss of vision in 1 eye"
Myopia,"blurred distance vision, eyestrain, squinting"
Stop smoking treatments,"feeling or being sick, diarrhoea, increased heart rate, feeling agitated"
Abdominal Injury,"abdominal pain, tenderness, bruising, swelling, difficulty breathing, nausea, vomiting, changes in bowel movements, blood in urine or stool"
Lichen planus,"bald patches appearing on your scalp, sore red patches on your vulva, rough, thinning nails with grooves on, ringshaped purple or white patches on your penis"
Herpes simplex eye infections,"eye pain, a red eye, watering of your eye, sensitivity to light, blurred vision or other changes to your eyesight, a swollen eyelid"
Bronchitis,"persistent cough with yellow or green mucus, chest congestion, fatigue"
Vaginal discharge,diagnose  see a gp if you're worried
DVT (deep vein thrombosis),"swelling in 1 leg (rarely both legs), warm skin around the painful area"
Brain tumours,"headaches, seizures (fits), persistently feeling sick (nausea), being sick (vomiting) and drowsiness, progressive weakness orparalysison one side of the body, vision or speech problems"
Neuralgia,"sharp, shooting pain along the affected nerve"
Hemorrhoids,"swollen, itchy, or painful veins in the rectal area"
Lactose intolerance,"tummy pain or discomfort, bloating, farting, diarrhoea or constipation, feeling sick or being sick"
Bowel cancer,"blood in your poo, which may look red or black, bleeding from your bottom, tummy pain, a lump in your tummy, bloating, losing weight without trying, feeling very tired for no reason"
Peritonitis,"severe abdominal pain, tenderness, bloating, fever, nausea, vomiting, loss of appetite, increased heart rate"
Fibroids,"heavy periodsorpainful periods, tummy (abdominal) pain, lowerback pain, a frequent need to urinate, constipation, pain or discomfort during sex"
Kawasaki disease,"a rash, swollen glands in the neck, dry, red cracked lips, a swollen, bumpy, red tongue (strawberry tongue), swollen and red hands and feet, red eyes"
Viral Warts,"small, rough growths on the skin or mucous membranes, typically painless, may appear in clusters or as single lesions"
Choledocholithiasis,"abdominal pain (often in the upper right quadrant), jaundice, dark urine, pale stools, nausea, vomiting, endoscopic retrograde cholangiopancreatography (ercp) with stone removal, sphincterotomy, cholecystectomy"
Hepatitis C,"feeling tired all the time, loss of appetite, stomach ache, feeling and being sick"
Teeth grinding (bruxism),"face, neck and shoulder pain, headaches, earache, disturbed sleep"
Chronic Rheumatic Fever,"joint pain, fever, rash, heart inflammation"
Coeliac disease,"diarrhoea, which may smell particularly unpleasant, stomach aches, bloating andfarting (flatulence), indigestion, constipation, unintentional weight loss, an itchy rash (dermatitis herpetiformis), problems getting pregnant (infertility), nerve damage (peripheral neuropathy), disorders that affect coordination, balance and speech (ataxia)"
COVID 19,"19 symptoms can include, shortness of breath, feeling tired or exhausted, an aching body, a headache, a sore throat, a blocked or runny nose, loss of appetite, diarrhoea, feeling sick or being sick"
Gastrointestinal Hemorrhage,"abdominal pain, vomiting blood, bloody or black stools"
Long sightedness,headaches
Hernia,"sudden, severe pain, being sick, difficulty pooing or passing wind"
Dementia,"memory loss, difficulty concentrating, struggling to follow a conversation or find the right word, being confused about time and place, mood changes"
Parasitic Infections,"intense itching, visible lice or nits in the affected area"
Toxoplasmosis,"high temperature, headache, sore throat, aching body, swollen glands, feeling tired, feeling sick or being sick"
Vesicoureteral Reflux,"frequent urinary tract infections, urinary urgency or frequency, bedwetting (in children), high blood pressure (in severe cases)"
Raynaud's,"pain, numbness, pins and needles"
Fibromyalgia,"widespread musculoskeletal pain, fatigue, sleep disturbances"
Corticobasal degeneration,"muscle stiffness, shaking (tremors), jerky movements and spasms (dystonia), problems with balance and coordination, slow and slurred speech, symptoms of dementia, such as memory and visual problems, slow, effortful speech, difficulty swallowing"
Lambert Eaton myasthenic syndrome,"aching muscles, feeling very tired all the time (fatigue), difficulty walking and climbing stairs, difficulty lifting objects or raising the arms, drooping eyelids,dry eyesand blurred vision, swallowing problems, dizzinessupon standing, adry mouth, constipation, erectile dysfunction, muscle weakness that gets worse with time"
Sciatica,pain radiating from the lower back to the leg
Cluster headaches,"headaches that start and stop quickly, without warning, headaches that last between 15 minutes and 3 hours"
Heart block,"dizziness, fainting or feeling like you're about to faint, chest pain, tiredness, shortness of breath"
Lymphedema,"swelling in arms or legs, feeling of heaviness or tightness"
Fungal Infection of the Skin,"rash, itching, redness, peeling skin"
Pleomorphic adenoma,"painless lump or swelling, facial changes"
Sjögren's syndrome,"dry mouth and eyes, fatigue, joint pain, dry skin"
Kidney stones,"pain in the side of your tummy (abdomen), severe pain that comes and goes, feeling sick or vomiting"
Multiple myeloma,"tiredness, weakness and shortness of breath  caused byanaemia, weight loss, blurred vision, dizziness or headaches  caused by thickened blood (hyperviscosity), repeated infections, kidney problems"
Bursitis,"joint pain, swelling, tenderness, limited range of motion"
Type 2 diabetes,"feeling very tired, peeing more than usual, feeling thirsty all the time, losing weight without trying to, blurred vision, cuts or wounds taking longer to heal"
Neuromyelitis Optica,"optic neuritis (vision loss, pain with eye movement), transverse myelitis (weakness, numbness, or paralysis of the limbs, loss of bladder or bowel control)"
Subdural hemorrhage,"headache, confusion, dizziness, nausea or vomiting, seizures, weakness or numbness"
Peritonsillar Abscess,"severe sore throat, difficulty swallowing, fever, swollen tonsils, voice changes, neck pain or stiffness"
Primary Insomnia,"difficulty falling asleep or staying asleep, daytime sleepiness, irritability, difficulty concentrating"
PMS (premenstrual syndrome),"mood swings, feeling depressed or irritable, feeling upset, anxious or emotional, tiredness or trouble sleeping, bloating or cramping, breast tenderness, headaches, spotty skin, greasy hair, changes in appetite or food cravings"
Temporomandibular disorder (TMD),"pain around your jaw, ear and temple, clicking, popping or grinding noises when you move your jaw, a headache around your temples, difficulty opening your mouth fully, your jaw locking when you open your mouth"
Vitamin B12 Deficiency,"fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue"
Middle East respiratory syndrome (MERS),"a high temperature, a cough, shortness of breath or difficulty breathing"
Staph infection,"a painful red lump or bump (aboil, carbuncle orabscess), hot, red and swollen skin (cellulitis), sores, crusts or blisters (impetigo), sore, red eyelids or eyes (styesorconjunctivitis)"
Morton's neuroma,"a shooting, stabbing or burning pain"
Paralysis,your face or body is weak or floppy
Ataxia,"increasingly slurred, slow and unclear speech (dysarthria), difficulty swallowing (dysphagia), abnormal curvature of the spine (scoliosis), total or partialvision lossandhearing loss, diabetes, loss of sensation in the hands and feet (peripheral neuropathy)"
Otosclerosis,"dizziness, problems with your balance"
Poisoning,"being sick, stomach pains, confusion, drowsiness and fainting fits"
Alopecia,"hair loss or balding, patchy or generalized hair loss"
Indigestion,"feeling full and bloated, feeling sick, burping and farting, bringing up food or bittertasting fluids into your mouth"
Frostbite,"constant shivering, tiredness, low energy, cold or pale skin, fast breathing (hyperventilation)"
Type 2 Diabetes,"fatigue, increased hunger, slow healing of wounds"
Conjunctivitis due to Allergy,"redness, itching, watery discharge, swollen eyelids"
Cholesteatoma,"a watery, smelly, discharge that comes out of the ear, a gradual loss of hearing in the affected ear, pain in the affected ear, ear infections that keep coming back, vertigo, tinnitus, damage to the facial nerve"
Bladder cancer,"a need to urinate on a more frequent basis, sudden urges to urinate, a burning sensation when passing urine"
Polycystic Ovarian Syndrome,"irregular periods, excessive hair growth, acne, weight gain, ovarian cysts"
Orthorexia Nervosa,"obsessive focus on ""clean"" eating, healthy food choices"
Cerebral palsy,"seeming too stiff or too floppy, weak arms or legs, fidgety, jerky or clumsy movements, random, uncontrolled movements, walking on tiptoes"
Toxocariasis,"a high temperature, coughing or wheezing, stomach ache, an itchy rash, eye pain or redness, loss of vision (usually in 1 eye)"
Cystic Fibrosis,"persistent cough with thick mucus, recurrent lung infections, poor growth or weight gain, salty-tasting skin"
Nose Disorder,"nasal congestion, runny nose, sneezing, facial pain or pressure, loss of smell"
Threatened Pregnancy,"vaginal bleeding, abdominal cramps, pelvic pain"
Ejaculation problems,"producing no semen, or only a small amount, during ejaculation"
Erythrocytosis,"headaches, blurred vision, tiredness, high blood pressure, dizziness, discomfort in the tummy, confusion, bleeding problems  such asnosebleedsand bruising, gout which can cause joint pain, stiffness and swelling, itchy skin especially after a bath or shower"
Meningitis,"a high temperature (fever), being sick, a headache, a stiff neck, a dislike of bright lights, drowsiness or unresponsiveness, seizures (fits)"
Arthritis,"joint pain, stiffness, swelling"
Bile duct cancer (cholangiocarcinoma),"itchy skin, darker pee and paler poo than usual, loss of appetite orlosing weight without trying to, feeling generally unwell, feeling tired or having no energy, a high temperature, or you feel hot or shivery, feeling or being sick, pain in your tummy"
Cholesteatoma,"ear pain, hearing loss, ear drainage, dizziness or vertigo, tinnitus"
DiGeorge syndrome (22q11 deletion),short stature  children and adults may be shorter than average
Coronary heart disease,"chest pain(angina), shortness of breath, pain in your neck, shoulders, jaw or arms, feeling faint, feeling sick (nausea)"
Dermatitis due to Sun Exposure,"redness, itching, rash, blistering"
Glucocorticoid Deficiency,"fatigue, weakness, weight loss, low blood pressure, abdominal pain"
Eye tests for children,"the eyes not pointing in the same direction, complaining ofheadachesor eye strain, being unusually clumsy, regularly rubbing their eyes, sitting too close to the tv"
Pulmonary Eosinophilia,"cough, shortness of breath, wheezing, chest pain, fever, night sweats, fatigue, weight loss, elevated eosinophil count in the blood or sputum"
Autosomal recessive polycystic kidney disease,"a dry mouth and lips, sunken features (particularly the eyes), headaches, dizziness, irritability"
Non melanoma skin cancer,"head, face and ears, neck and shoulders, back, hands, lower legs"
Trigeminal neuralgia,"talking, smiling, chewing, brushing your teeth, washing your face, a light touch, shaving or putting on makeup, swallowing, kissing, a cool breeze or air conditioning, head movements, vibrations, such as walking or travelling in a car"
Contact Dermatitis,"itchy, red rash caused by contact with irritants or allergens"
Neuropathic Pain,"shooting or burning pain, tingling or numbness"
Myasthenia gravis,"droopy eyelids, double vision, difficulty making facial expressions, problems chewing anddifficulty swallowing, slurred speech, weak arms, legs or neck, shortness of breathand occasionally serious breathing difficulties"
Pancreatic cancer,"loss of appetite or losing weight without trying to, feeling tired or having no energy, a high temperature, or feeling hot or shivery, feeling or being sick, diarrhoea or constipation, or other changes in your poo, symptoms of indigestion, such as feeling bloated"
Dysthymic Disorder,"persistent depressive symptoms (low mood, lack of interest, changes in sleep and appetite), lasting for at least two years"
Diabetes,"feeling verythirsty, peeing more frequently than usual, particularly at night, feeling very tired, weight loss and loss of muscle bulk, itching around the penis or vagina, or frequent episodes ofthrush, blurred vision"
Turner syndrome,"short stature, gonadal dysgenesis, webbed neck, lymphedema"
Pneumonia,"shortness of breath, a high temperature, chest pain, an aching body, feeling very tired, loss of appetite, feeling confused  this is common in older people"
Postpartum Depression,"persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby"
Dengue,"a high temperature, a severe headache, pain behind your eyes, muscle and joint pain, feeling or being sick, swollen glands"
Respiratory tract infections (RTIs),"acough you may bring up mucus (phlegm), sneezing, a stuffy or runny nose, asore throat, headaches, muscle aches, breathlessness, tight chest or wheezing, a high temperature, feeling generally unwell"
Mumps,"swollen salivary glands (usually parotid), fever, headache, fatigue"
Intracranial hypertension,"feeling and being sick, feeling sleepy, feeling irritable, hearing a pulsing rhythmic noise in your ears (pulsatile tinnitus), problems with coordination and balance, mental confusion, loss of feeling or weakness"
