Name,Symptoms
Group B strep,"being floppy or not responding normally, very fast or slow breathing, an unusually high or low temperature, changes in their skin colour or blotchy skin, not feeding well or vomiting milk up, an unusually fast or slow heart rate"
Guillain Barré syndrome,"problems breathing, problems with your eyes, such as double vision"
Gum disease,"your gums becoming swollen, red and sore"
Haemochromatosis,"feeling very tired all the time (fatigue), weight loss, weakness, joint pain, an inability to get or maintain an erection (erectile dysfunction), irregular periodsor stopped or missed periods, brain fog, mood swings,depressionandanxiety"
Haemophilia,"bruising easily, joint pain, stiffness and swelling"
Haemophilus influenzae type b (Hib),"a high temperature, difficulty breathing  babies may make grunting noises, being sleepier than normal or difficult to wake, a headache, a sore throat, swollen or painful joints"
Piles (haemorrhoids),"bright red blood after you poo, anitchy anus, lumps around your anus, pain around your anus"
"Hand, foot and mouth disease","a sore throat, a high temperature, not wanting to eat"
Hay fever,"sneezing and coughing, a runny or blocked nose, itchy, red or watery eyes, itchy throat, mouth, nose and ears, loss of smell, pain around the sides of your head and your forehead, headache, feeling tired"
Head and neck cancer,"a change in the voice, such as persistent hoarseness, difficulty or pain when swallowing, noisy breathing, shortness of breath, a persistentcough, a lump or swelling in your neck"
Tension headaches,"pain on both sides of your head, face or neck"
Heart attack,"feeling lightheaded or dizzy, sweating, shortness of breath, feeling sick (nausea) or being sick (vomiting), an overwhelming feeling of anxiety (similar to a panic attack), coughing or wheezing"
Heart block,"dizziness, fainting or feeling like you're about to faint, chest pain, tiredness, shortness of breath"
Heart failure,"breathlessnessafter activity or at rest, feeling tired most of the time and finding exercise exhausting, feeling lightheaded or fainting, swollen ankles and legs"
Heart valve disease,"shortness of breath, feeling tired or weak, feeling dizzy, swollen ankles and feet, chest painor discomfort"
Heat exhaustion and heatstroke,"tiredness, dizziness, headache, feeling sick or being sick, cramps in the arms, legs and stomach, fast breathing or heartbeat, a high temperature, being very thirsty, weakness"
Heat rash (prickly heat),"small, raised spots, an itchy, prickly feeling, mild swelling"
Hepatitis,"muscle andjoint pain, a high temperature, feeling and being sick, feeling unusually tired all the time, a general sense of feeling unwell, loss of appetite, tummy pain, dark urine, pale, greycoloured poo, itchy skin, yellowing of the eyes and skin (jaundice)"
Hepatitis A,"a high temperature, flulike symptoms, such as tiredness, headache, and muscle pains, feeling sick or being sick, pain in your upper tummy, diarrhoea or constipation, pale yellow or pale grey poo, dark brown pee, itchy skin  you may also have a raised rash (hives)"
Hepatitis B,"a high temperature, tiredness, pain in your upper tummy, feeling sick or being sick, patches of raised skin that may be itchy (hives), yellowing of the skin and whites of the eyes (jaundice)"
Hepatitis C,"feeling tired all the time, loss of appetite, stomach ache, feeling and being sick"
Hereditary haemorrhagic telangiectasia (HHT),"regular nosebleeds, visible red spots in certain places on the body"
Hernia,"sudden, severe pain, being sick, difficulty pooing or passing wind"
Neonatal herpes (herpes in a baby),"is lethargic or irritable, is not feeding, is lacking in energy (listless), is becoming floppy and unresponsive, is difficult to wake up from sleep, has breathing difficulties or starts grunting, breathes rapidly"
Herpetic whitlow (whitlow finger),"swelling and pain in your finger, blisters or sores on your finger, skin becoming red or darker than your usual skin tone, feeling generally unwell and having a high temperature"
Hidradenitis suppurativa (HS),"around the groin and genitals, in the armpits, on the bottom and around the anus, below the breasts"
High blood pressure,"headaches, blurred vision, chest pain"
High blood sugar (hyperglycaemia),"feeling very thirsty, peeing a lot, feeling weak or tired, blurred vision, losing weight"
Hirschsprung's disease,"a swollen belly, vomiting green or yellowgreen fluid (bile), a swollen belly, vomiting or a stomach ache, not feeding well or not gaining much weight"
Hodgkin lymphoma,"night sweats, unintentional weight loss, a high temperature (fever), a persistentcoughor feeling ofbreathlessness, persistent itching of the skin all over the body, persistent tiredness or fatigue, an increased risk of infections"
Homocystinuria,"vision problems, such as severeshortsightedness (myopia), weak bones (osteoporosis), bone and joint problems, a risk of developingblood clotsandstrokes"
How to check your breasts or chest,"a lump or swelling in your breast, chest or armpit, sores or ulcers on your chest"
How to check your testicles,anything else that is not normal for you
How to collect a sample of poo (stool sample),"blood in your poo, diarrhoea, constipation, stomach pain or discomfort"
Huntington's disease,"difficulty concentrating and planning tasks, memory problems, low mood, depression and anxiety, becoming clumsy and finding it difficult to control your muscles, difficulty swallowing and speaking, losing weight, more severe mood or personality changes"
Hydrocephalus,"headache, being sick, blurred vision, difficulty walking"
Hydronephrosis,blood in your urine
Hyperparathyroidism,"depression, tiredness, feeling thirsty and peeing a lot, feeling sick and losing your appetite, muscle weakness, constipation, tummy pain, loss of concentration, mild confusion"
Overactive thyroid (hyperthyroidism),"nervousness, anxiety and irritability, mood swings, difficulty sleeping, persistent tiredness and weakness, sensitivity to heat, swelling in your neck from anenlarged thyroid gland (goitre), an irregular andor unusually fast heart rate(palpitations), twitching ortrembling, weight loss"
Low blood sugar (hypoglycaemia),"feeling hungry, feeling dizzy, feeling anxious or irritable, sweating, shaking, tingling lips, heart palpitations, feeling tired or weak, changes in your vision such as blurred vision, feeling confused"
Hypoparathyroidism,"muscle pain, stiffness and spasms, tummy pain, brittle nails, dry hair and dry skin, confusion, an irregular heartbeat, seizures (fits)"
Hypothermia,"shivering, slurred speech, slow breathing, tiredness or confusion"
Underactive thyroid (hypothyroidism),"tiredness, weight gain, depression, being sensitive to the cold, dry skin and hair, muscle aches"
Inflammatory bowel disease,"diarrhoea that lasts longer than 4 weeks, tummy pain, blood or mucus (clear slime) in your poo, bleeding from your bottom, feeling tired all the time, losing weight without trying"
Idiopathic pulmonary fibrosis,"shortness of breath, a persistent drycough, tiredness, loss of appetite andweight loss, rounded and swollen fingertips (clubbed fingers)"
Indigestion,"feeling full and bloated, feeling sick, burping and farting, bringing up food or bittertasting fluids into your mouth"
Infected piercings,you feel hot or shivery or generally unwell
Intracranial hypertension,"feeling and being sick, feeling sleepy, feeling irritable, hearing a pulsing rhythmic noise in your ears (pulsatile tinnitus), problems with coordination and balance, mental confusion, loss of feeling or weakness"
Irritable bowel syndrome (IBS),"bloating  your tummy may feel uncomfortably full and swollen, ups) they may be triggered by food or drink"
Isovaleric acidaemia,"developing a distinctive odour of sweaty feet, poor feeding or loss of appetite, weight loss, lack of energy, vomiting, irritability, sleepiness and nonresponsiveness, floppiness and falling over, poor feeding, breathing difficulties"
Japanese encephalitis,"like symptoms such as, a headache, a high temperature, feeling or being sick, tummy pain, a severe headache, feeling confused, seizures (fits)"
Newborn jaundice,"dark, yellow urine (a newborn baby's urine should be colourless), palecoloured poo (it should be yellow or orange)"
Temporomandibular disorder (TMD),"pain around your jaw, ear and temple, clicking, popping or grinding noises when you move your jaw, a headache around your temples, difficulty opening your mouth fully, your jaw locking when you open your mouth"
Jet lag,"difficulty sleeping at bedtime and waking up in the morning, tiredness and exhaustion, difficulty staying awake during the day, poor sleep quality, concentration and memory problems"
Joint hypermobility syndrome,"often get tired, even after rest, keep getting pain and stiffness in your joints or muscles, keep getting sprains and strains, keep dislocating your joints (they pop out), have poor balance or coordination, have thin, stretchy skin, have bladder or bowel problems"
Kawasaki disease,"a rash, swollen glands in the neck, dry, red cracked lips, a swollen, bumpy, red tongue (strawberry tongue), swollen and red hands and feet, red eyes"
Kidney cancer,"blood in your pee, loss of appetite or losing weight without trying to, feeling tired or having no energy, a high temperature that does not go away, sweating a lot, including at night"
Kidney infection,"a high temperature, feeling or being sick, pain in your lower back or side, diarrhoea, aching muscles and flulike symptoms, pain, burning or stinging when you pee, needing to pee more often and urgently than usual, pee that's dark or cloudy, wetting the bed or themselves, being drowsy"
Kidney stones,"pain in the side of your tummy (abdomen), severe pain that comes and goes, feeling sick or vomiting"
Kyphosis,"back painand stiffness, tenderness of the spine, tiredness"
Labyrinthitis and vestibular neuritis,"dizzinessor feeling that everything around you is spinning (vertigo), feeling or being sick, hearing loss, ringing in your ears (tinnitus)"
Lactose intolerance,"tummy pain or discomfort, bloating, farting, diarrhoea or constipation, feeling sick or being sick"
Lambert Eaton myasthenic syndrome,"aching muscles, feeling very tired all the time (fatigue), difficulty walking and climbing stairs, difficulty lifting objects or raising the arms, drooping eyelids,dry eyesand blurred vision, swallowing problems, dizzinessupon standing, adry mouth, constipation, erectile dysfunction, muscle weakness that gets worse with time"
Laryngeal (larynx) cancer,"a change in your voice, such as sounding hoarse, pain when swallowing ordifficulty swallowing, a lump or swelling in your neck, a longlastingcoughor breathlessness, a persistentsore throatorearache, a highpitched wheezing noise when you breathe, in severe cases, difficulty breathing"
Laryngitis,"a hoarse (croaky) voice, sometimes losing your voice, an irritating cough that does not go away, always needing to clear your throat, a sore throat"
Venous leg ulcer,"worsening pain, redness and swelling of the skin around the ulcer, a high temperature (fever), an unpleasant smell coming from the ulcer"
Legionnaires' disease,"a cough, shortness of breath, chest pain or discomfort, particularly when breathing or coughing, a high temperature, flulike symptoms"
Leptospirosis (Weil's disease),"like symptoms but some people get seriously ill, high temperature, headache, body aches and pain, tummy ache, feeling sick or being sick, diarrhoea, redness in the white part of your eyes"
Lichen planus,"bald patches appearing on your scalp, sore red patches on your vulva, rough, thinning nails with grooves on, ringshaped purple or white patches on your penis"
Listeriosis,"a high temperature, aches and pains, chills, feeling or being sick, diarrhoea"
Liver cancer,"loss of appetite orlosing weight without trying to, feeling tired or having no energy, feeling generally unwell or having symptoms like flu, a lump in the right side of your tummy, feeling or being sick, symptoms ofindigestion, such as feeling full very quickly when eating"
Liver disease,"feeling very tired and weak all the time, loss of appetite  which may lead to weight loss, loss of sex drive (libido), yellow skin and whites of the eyes (jaundice), itchy skin, feeling or being sick"
Long QT syndrome,"fainting, a seizure or fit"
Long sightedness,headaches
Low white blood cell count,"a high temperature, chills and shivering, sore throat, mouth sores that keep coming back, toothache, skin rashes, tiredness, flulike symptoms"
Lung cancer,"a persistent cough, coughing up blood, persistent breathlessness, unexplained tiredness and weight loss, an ache or pain when breathing or coughing"
Lung cancer screening,"a cough that does not go away after 3 weeks, an existing cough that changes or gets worse, chest infections that keep coming back, coughing up blood, being short of breath a lot, unexplained tiredness, an ache or pain when breathing or coughing, loss of appetite or unexplained weight loss"
Lyme disease,"a high temperature, or feeling hot and shivery, headache, muscle and joint pain, tiredness and loss of energy"
Lymphoedema,"an aching, heavy feeling, difficulty with movement, repeated skin infections, developing hard, tight or thickened skin, folds developing in the skin, wartlike growths developing on the skin, fluid leaking through the skin"
Malaria,"a high temperature, sweats and chills, headaches and feeling confused, feeling very tired and sleepy (especially in children), feeling and being sick, tummy pain and diarrhoea, loss of appetite, muscle pains, yellow skin or whites of the eyes, a sore throat, cough and difficulty breathing"
The 'male menopause',"mood swings and irritability, loss of muscle mass and reduced ability to exercise, a general lack of enthusiasm or energy, difficulty sleeping (insomnia) or increased tiredness, poor concentration and shortterm memory"
Malnutrition,"a lack of interest in eating and drinking, feeling tired all the time, feeling weak, getting ill often and taking a long time to recover"
Maple syrup urine disease,"sweetsmelling urine and sweat, poor feeding or loss of appetite, weight loss"
Marfan syndrome,myopia shortsightedness
Mastitis,a wedgeshapedbreast lumpor a hard area on your breast
Mastoiditis,"pain, soreness or tenderness behind the ear, discharge from the ear, a high temperature, tiredness and irritability, headache, hearing lossin the affected ear"
MCADD,"irritability, poor feeding, sleepiness, floppiness, breathing difficulties, vomiting, seizures (fits), coma"
Measles,"a high temperature, a runny or blocked nose, sneezing, a cough, red, sore, watery eyes"
Meningitis,"a high temperature (fever), being sick, a headache, a stiff neck, a dislike of bright lights, drowsiness or unresponsiveness, seizures (fits)"
Mesothelioma,"chest pain, shortness of breath, fatigue (extreme tiredness), a high temperature and sweating, particularly at night, a persistentcough, loss of appetite andunexplained weight loss, clubbed (swollen) fingertips, tummy painor swelling, feeling or being sick, loss of appetite and unexplained weight loss, diarrhoeaorconstipation"
Metabolic syndrome,up
Middle East respiratory syndrome (MERS),"a high temperature, a cough, shortness of breath or difficulty breathing"
Migraine,"feeling very tired and yawning a lot, craving certain foods or feeling thirsty, changes in your mood, a stiff neck, peeing more"
Moles,"babies to be born with moles, new moles to appear  especially in children and teenagers, moles to fade or disappear as you get older, moles to get slightly darker during pregnancy"
Morton's neuroma,"a shooting, stabbing or burning pain"
Motion sickness,"dizziness, feeling sick (nausea), being sick, headache, feeling cold and going pale, sweating"
Motor neurone disease (MND),"twitches, spasms or muscle cramps (where muscles painfully tighten), have problems breathing, swallowing and speaking, produce a lot of saliva (drool), have changes in your mood and personality, be unable to walk or move"
Mouth cancer,"a red or white patch inside your mouth, a lump inside your mouth or on your lip, pain inside your mouth, difficulty swallowing, difficulty speaking or a hoarse (croaky) voice, a lump in your neck or throat, losing weight without trying"
Oral thrush (mouth thrush),"cracks at the corners of the mouth, not tasting things properly, an unpleasant taste in the mouth, difficulty eating and drinking"
Mouth ulcers,"painful, red or swollen joints"
Mpox,"a high temperature (fever), a headache, muscle aches, backache, swollen glands, shivering (chills), exhaustion, joint pain"
MRSA,"is painful and swollen, feels warm when you touch it, leaks pus or liquid, high temperature, difficulty breathing, chills, dizziness, confusion"
Multiple myeloma,"tiredness, weakness and shortness of breath  caused byanaemia, weight loss, blurred vision, dizziness or headaches  caused by thickened blood (hyperviscosity), repeated infections, kidney problems"
Multiple sclerosis,"feeling extremely tired (fatigue), feeling off balance, dizzy or clumsy (uncoordinated), muscle cramps, spasms and stiffness, problems with memory or concentration, sexual problems, including a dry vagina or erection problems"
Multiple system atrophy (MSA),"feeling dizzy and faint when standing up, erectile dysfunction (impotence), slow, clumsy or unsteady movement, slurred speech, stiff, tense muscles that may be painful, feeling too hot or too cold, trouble sleeping, noisy breathing, unintentional sighing and snoring, finding it difficult to chew or swallow, constipation (finding it hard to poo), unpredictable laughing or crying"
Myasthenia gravis,"droopy eyelids, double vision, difficulty making facial expressions, problems chewing anddifficulty swallowing, slurred speech, weak arms, legs or neck, shortness of breathand occasionally serious breathing difficulties"
Myelodysplastic syndrome (MDS),"feeling tired or weak, feeling breathless when you do light exercise"
Short sightedness (myopia),"sighted include, getting headaches, rubbing the eyes a lot"
Myositis,"painful or aching muscles, feeling very tired, weight loss, night sweats, problems with swallowing (dysphagia) or breathing"
Ménière's disease,"feeling like you or everything around you is spinning (vertigo), losing your balance, ringing or buzzing sounds in 1 or both ears (tinnitus), hearing loss, feeling pressure, discomfort or pain deep inside your ear, feeling or being sick"
Nail problems,"psoriasis, iron deficiency anaemia, anunderactive thyroidoroveractive thyroid, diabetes, heart, lung or liver disease"
Nappy rash,"skin that looks sore and feels hot to touch, scaly and dry skin, an itchy or painful bottom, your baby seeming uncomfortable or distressed"
Narcolepsy,"memory problems, headaches, depression"
Nasal and sinus cancer,"nosebleeds, a decreased sense of smell, mucus running from your nose  this can be bloody, mucus draining into the back of your nose and throat, swollen glandsin the neck, partial loss of vision ordouble vision, a bulging eye, awatering eyethat does not go away, pain or pressure in 1 ear"
Nasal polyps,"a blocked nose, a runny nose, a reduced sense of smell or taste, snoring"
Nasopharyngeal cancer,"alumpin the neck that doesnt go away after 3 weeks, hearing loss(usually only in 1 ear), nosebleeds, headaches, double vision, numbness in the bottom part of your face, swallowing problems, a hoarse voice, unintentional weight loss"
Necrotising fasciitis,"being sick (vomiting) and diarrhoea, confusion"
Neurofibromatosis type 1 (NF1),"a large head and below average height, learning difficulties"
Neurofibromatosis type 2,"hearing lossthat gradually gets worse over time, hearingringing or buzzing in the ears (tinnitus)"
Neuromyelitis optica (NMO),"weakness, numbness or paralysis in your arms or legs, muscle spasms (where your muscles suddenly tighten), vomiting and hiccups"
Newborn respiratory distress syndrome,"bluecoloured lips, fingers and toes, rapid, shallow breathing, flaring nostrils, a grunting sound when breathing"
Non alcoholic fatty liver disease (NAFLD),"extreme tiredness, unexplained weight loss, weakness"
Non allergic rhinitis,"a blocked or runny nose, sneezing, an itchy nose, a reduced sense of smell"
Urethritis,"pain or a burning feeling when you pee, white or cloudy discharge from the vagina or penis, an irritated or sore tip of the penis"
Non Hodgkin lymphoma,sized lumps of tissue found throughout the body
Non melanoma skin cancer,"head, face and ears, neck and shoulders, back, hands, lower legs"
Norovirus (vomiting bug),"feeling sick, being sick (vomiting), diarrhoea, a high temperature, a headache, tummy pain, body aches and pains"
Sleep apnoea,"your breathing stops and starts while you sleep, you make gasping, snorting or choking noises while you sleep, you always feel very tired during the day"
Oesophageal cancer,"having problems swallowing (dysphagia), feeling or being sick, heartburn or acid reflux, symptoms ofindigestion, such as burping a lot, a cough that is not getting better, a hoarse voice, loss of appetite orlosing weight without trying to, feeling tired or having no energy, black poo or coughing up blood (although these are uncommon), oesophageal reflux disease, you may get symptoms like these regularly"
Orf,"a high temperature, general tiredness (fatigue)"
Osteoarthritis,"swelling, tenderness, grating or crackling sound when moving the affected joints"
Osteomyelitis,"swelling of the affected area, a feeling of warmth on the affected area, a limp (more common in children), a high temperature"
Osteophyte (bone spur),rayfor another reason
Otosclerosis,"dizziness, problems with your balance"
Ovarian cyst,"pain during sex, difficulty emptying your bowels, a frequent need to urinate, heavy periods,irregular periodsor lighter periods than normal, bloating and a swollen tummy, feeling very full after only eating a little"
Paget's disease of bone,"bone or joint pain, skin feeling warm over the affected bone, changes in bone shape"
Paget's disease of the nipple,invasive cancer
Pancreatic cancer,"loss of appetite or losing weight without trying to, feeling tired or having no energy, a high temperature, or feeling hot or shivery, feeling or being sick, diarrhoea or constipation, or other changes in your poo, symptoms of indigestion, such as feeling bloated"
Paralysis,your face or body is weak or floppy
Parkinson's disease,"involuntary shaking of particular parts of the body(tremor), slow movement, stiff and inflexible muscles, depressionandanxiety, balance problems (this may increase the chances of afall), loss of sense of smell(anosmia), problems sleeping(insomnia), memory problems"
Patau's syndrome,"cleft lip and palate, an abnormally small eye or eyes (microphthalmia), absence of 1 or both eyes (anophthalmia), smaller than normal head size (microcephaly), ear malformations anddeafness, abnormal cysts in the kidneys, bottom feet"
Pelvic inflammatory disease,"pain around the pelvis or lower tummy, pain when peeing, bleeding between periods and after sex, heavy periods, painful periods, unusualvaginal discharge, especially if it's yellow, green or smelly, severe pain in the tummy, a high temperature (fever), feeling and being sick"
Pelvic organ prolapse,"a feeling of heaviness around your lower tummy and genitals, a dragging discomfort inside your vagina, discomfort or numbness during sex"
Pelvic pain,"a sharp, stabbing or burning pain that happens suddenly, a dull or heavy ache, or feeling of pressure, a twisted or knotted feeling, a cramping or throbbing pain, which may come and go"
Penile cancer,"a rash, bleeding from your penis or under your foreskin, a smelly discharge, difficulty pulling back your foreskin (phimosis), a lump in your groin, feeling tired, tummy pain, losing weight without trying"
Periods,"feeling bloated, breast tenderness, mood swings, feeling irritable, spotty skin, low sex drive (loss of libido), headaches"
Peripheral arterial disease (PAD),"hair loss on your legs and feet, numbness or weakness in the legs, brittle, slowgrowing toenails, shiny skin, in men,erectile dysfunction, the muscles in your legs shrinking (wasting)"
Peripheral neuropathy,"numbness and tingling in the feet or hands, burning, stabbing or shooting pain in affected areas, loss of balance and coordination, muscle weakness, especially in the feet"
Peritonitis,"tummy pain, a very high temperature, or feeling hot and shivery"
Peyronie's disease,"painful erections that can make having sex difficult, problems getting or keeping an erection (erectile dysfunction)"
Phaeochromocytoma,"headaches, heavy sweating, heart palpitations, high blood pressure, a pale face, feeling or being sick, feeling anxious or panicky, shakiness (tremor)"
Phenylketonuria,"behavioural difficulties such as frequent temper tantrums and episodes ofselfharm, eczema, repeatably being sick, jerking movements in arms and legs, tremors, epilepsy, musty smell to the breath, skin and urine"
Pityriasis rosea,"tiredness, a sore throat, a high temperature, a headache"
PMS (premenstrual syndrome),"mood swings, feeling depressed or irritable, feeling upset, anxious or emotional, tiredness or trouble sleeping, bloating or cramping, breast tenderness, headaches, spotty skin, greasy hair, changes in appetite or food cravings"
Pneumonia,"shortness of breath, a high temperature, chest pain, an aching body, feeling very tired, loss of appetite, feeling confused  this is common in older people"
Poisoning,"being sick, stomach pains, confusion, drowsiness and fainting fits"
Polio,"like symptoms, such as, a high temperature, extreme tiredness (fatigue), headaches, being sick (vomiting), a stiff neck, muscle pain"
Polycystic ovary syndrome,"irregular periods orno periods at all, weight gain, thinning hair andhair lossfrom the head, oily skin oracne"
Polyhydramnios (too much amniotic fluid),"indigestion and heartburn, constipation, breathlessness, swollen feet and legs, urinary tract infections (utis)"
Polymyalgia rheumatica,"extreme tiredness, loss of appetite, weight loss, depression"
Post herpetic neuralgia,"herpetic neuralgia may include, itchy skin, loss of feeling in your skin"
Post polio syndrome,"persistent fatigue (extreme tiredness), muscle weakness, shrinking muscles, muscle and joint pain, sleep apnoea, polio syndromeanddiagnosing postpolio syndrome"
Postural tachycardia syndrome (PoTS),"dizziness or lightheadedness, noticeable heartbeats (heart palpitations), chest pain, shortness of breath, shaking and sweating, fainting or nearly fainting"
Prader Willi syndrome,"willi syndrome include, restricted growth(children are much shorter than average), floppiness caused by weak muscles (hypotonia), learning difficulties, lack of sexual development, behavioural challenges, such as emotional outbursts and physical aggression, willi syndrome"
Pre eclampsia,"severe headache, vision problems, such as blurring or flashing, pain just below the ribs, vomiting, sudden swelling of the face, hands or feet"
Pressure ulcers (pressure sores),"a patch of skin that feels warm, spongy or hard, pain or itchiness in the affected area of skin"
Primary biliary cholangitis (primary biliary cirrhosis),"bone and joint aches, fatigue (extreme tiredness), itchy skin, dry eyes and mouth"
Progressive supranuclear palsy,"problems with balance and mobility, including frequentfalls, muscle stiffness, slow, quiet or slurred speech, difficulty swallowing (dysphagia), slowness of thought and some memory problems"
Prostate cancer,"an increased need to pee, straining while you pee, a feeling that your bladder has not fully emptied"
PSA test,"blood in your pee, problems getting or keeping an erection"
Pubic lice,"itching, which is usually worse at night, small red or blue spots on your skin (lice bites), whiteyellow dots attached to your hair (lice eggs), dark red or brown spots in your underwear (lice poo), crusted or sticky eyelashes, if they're affected"
Pudendal neuralgia,"genitals (your vagina, vulva and clitoris or penis and scrotum), bottom and anus, perineum (the area between your genitals and anus), pelvis"
Pulmonary embolism,"difficulty breathing that comes on suddenly, chest pain that's worse when you breathe in, coughing up blood"
Pulmonary hypertension,"shortness of breath, tiredness, feeling faint or dizzy, chest pain (angina), a racing heartbeat (palpitations), swelling (oedema) in the legs, ankles, feet or tummy (abdomen)"
Pyoderma gangrenosum,"stiff joints, aching and painful muscles, a high temperature"
Q fever,"a high temperature, aching muscles, tiredness, feeling sick, a sore throat, swollen glands"
Tonsillitis,"a sore throat, problems swallowing, a high temperature, coughing, a headache, feeling and being sick, earache, feeling tired"
Rabies,"numbness or tingling where you were bitten or scratched, seeing things that are not there (hallucinations), feeling very anxious or energetic, difficulty swallowing or breathing, being unable to move (paralysis)"
Rashes in babies and children,"a high temperature, a runny or blocked nose, sneezing, a cough, red, sore, watery eyes"
Raynaud's,"pain, numbness, pins and needles"
Reactive arthritis,"sore, stiff and swollen joints, feeling very tired, mouth ulcers, pain when peeing, a grey or white patchy rash on your penis, sticky, watery eyes (conjunctivitis), sore, red eyes with sensitivity to light and blurry vision"
Repetitive strain injury (RSI),"pain, which may feel like burning, aching or throbbing, stiffness and weakness, tingling, pinsandneedles or numbness, muscle cramps, swelling"
Respiratory syncytial virus (RSV),"like symptoms, such as, a runny or blocked nose, a cough, sneezing, tiredness, a cough that gets worse, shortness of breath, faster breathing or long gaps between breaths, difficulty feeding (in babies) or loss of appetite, noisy breathing (wheezing), confusion (in older adults)"
Respiratory tract infections (RTIs),"acough you may bring up mucus (phlegm), sneezing, a stuffy or runny nose, asore throat, headaches, muscle aches, breathlessness, tight chest or wheezing, a high temperature, feeling generally unwell"
Retinal migraine,"a blind spot in your vision, feeling sick or being sick"
Rheumatic fever,"a high temperature, pain in your chest, breathlessness and a fast heart rate, jerky, uncontrollable movements in your hands, feet and face, tiny bumps under your skin"
Root canal treatment,"pain when biting or chewing, a loose tooth"
Rosacea,"dry skin, swelling, especially around the eyes, yelloworange patches on the skin"
Sarcoidosis,raycarried out for another reason
Scabies,"intense itching, especially at night, a raised rash or spots"
Scarlet fever,"drinking cool fluids, eating soft foods if you have a sore throat, using calamine lotion orantihistaminetablets to ease itching"
Scoliosis,"a visibly curved spine, leaning to 1 side, uneven shoulders, 1 shoulder or hip sticking out, the ribs sticking out on 1 side, clothes not fitting well"
Scurvy,"feeling very tired and weak all the time, feeling irritable and sad all the time, joint, muscle or leg pain, swollen, bleeding gums (sometimes teeth can fall out), skin that bruises easily"
Septic arthritis,fluid may be drained from the affected joint
Sexually transmitted infections (STIs),"an unusual discharge from your vagina, penis or anus, pain when peeing, lumps or skin growths around your genitals or bottom (anus), a rash, unusual vaginal bleeding, itchy genitals or anus, blisters, sores or warts around your genitals or anus"
Shoulder impingement,weakness in your arm
Sickle cell disease,an increased risk of serious infections
Sinusitis (sinus infection),"pain, swelling and tenderness around your cheeks, eyes or forehead, a blocked or runny nose, a reduced sense of smell, green or yellow mucus from your nose, a high temperature"
Sjögren's syndrome,"dry eyes, adry mouth, aching muscles and joints, extreme tiredness, dry skin that may be itchy, a cough that does not go away, a quiet or hoarse voice, vaginal dryness, ups) and times when they're better (remission)"
Slapped cheek syndrome,"a high temperature, a runny nose and sore throat, a headache"
Slipped disc,"have not improved using other treatments, include worsening muscle weakness, or numbness"
Stop smoking treatments,"feeling or being sick, diarrhoea, increased heart rate, feeling agitated"
Sore throat,"a painful throat, especially when swallowing, a dry, scratchy throat, redness in the back of your mouth, bad breath, a mild cough, swollen neck glands"
Spina bifida,"weakness or totalparalysisof the legs, bowel incontinenceandurinary incontinence"
Spinal muscular atrophy (SMA),"muscle weakness  such as floppy or weak arms and legs, movement problems  such as difficulty sitting up, crawling or walking, problems with breathing or swallowing, twitching or shaking muscles (tremors)"
Spleen problems and spleen removal,"a high temperature, a sore throat, a cough, a severe headache, a headache with drowsiness or a rash, abdominal pain, redness and swelling around the surgical wound"
Spondylolisthesis,"pain spreading to your bottom or thighs, tight hamstrings (the muscles in the back of your thighs)"
Staph infection,"a painful red lump or bump (aboil, carbuncle orabscess), hot, red and swollen skin (cellulitis), sores, crusts or blisters (impetigo), sore, red eyelids or eyes (styesorconjunctivitis)"
Strep A,"sore throat(strep throat ortonsillitis), a rash that feels rough, like sandpaper (scarlet fever), scabs and sores (impetigo), pain and swelling (cellulitis), severe muscle aches, nausea and vomiting"
Stroke,speech problems  you may slur your words or sound confused
Subdural haematoma,"aheadachethat keeps getting worse, feeling and being sick, confusion, feeling drowsy, loss of consciousness"
Supraventricular tachycardia (SVT),"have chest pain or discomfort, feel weak, breathless, lightheaded or dizzy, feel tired"
Swollen glands,"resting, drinking plenty of fluids (to avoiddehydration), taking painkillers likeparacetamoloribuprofen(do not give aspirin to children under 16)"
Syphilis,"white patches in your mouth, flulike symptoms, such as a high temperature, headaches and tiredness, swollen glands, patchy hair loss on the head, beard and eyebrows"
Tay Sachs disease,"being overly startled by noises and movement, difficulty swallowing, loss of vision or hearing, muscle stiffness, seizures (fits)"
Tuberculosis (TB),"feeling tired or exhausted, a high temperature or night sweats, loss of appetite, weight loss, feeling generally unwell"
Tendonitis,"pain in a tendon that gets worse when you move, difficulty moving the joint, swelling, sometimes with heat or redness"
Tennis elbow,"tenderness or swelling in your elbow, pain in your forearm, difficulty fully straightening your arm"
Testicular cancer,"a lump or swelling in your testicle, your testicle getting bigger, your scrotum feeling heavy, firm or hard, an ache or pain in your back or lower tummy, losing weight without trying, a cough, difficulty breathing or swallowing, a sore or swollen chest"
Tetanus,"difficulty breathing, swallowing problems, a high temperature, sweating, a fast heartbeat, fits (seizures)"
Thoracic outlet syndrome,"the affected arm gets tired easily, pain and swelling in the affected arm, the affected hand and arm feels cold"
Threadworms,"extreme itching around the anus or vagina, particularly at night, irritability and waking up during the night"
Thrush in men and women,"whitevaginal discharge(often like cottage cheese), which does not usually smell, itching and irritation around the vulva and vagina, soreness and stinging during sex or when you pee"
Thyroid cancer,"a hoarse voice, a sore throat, difficulty swallowing or breathing, softer poos or diarrhoea, weight loss, a cough"
